Food Name,Glycemic Index,Calories,Carbohydrates,Protein,Fat,Suitable for Diabetes,Suitable for Blood Pressure,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
Shawarma Wrap,20,400,25.0,30.0,18.55,1,1,972,420,35,60,3.0
Samboosa,83,239,20.0,10.0,14.0,1,0,580,320,36,80,2.0
Kheer,65,180,25.0,2.0,17.0,1,1,360,39,10,27,0.9
Rasgulla,93,186,23.6,4.0,8.0,1,1,95,90,10,104,0.0
Mushrooms,70,89,21.0,2.0,0.4,1,1,54,337,32,16,3.3
Mango Pickle,40,60,15.3,0.8,68.59,1,1,2,156,9,11,2.4
Peanuts,14,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Oats,55,389,66.0,16.9,6.9,1,1,2,429,177,30,10.6
Zucchini Noodles,15,17,3.1,1.2,0.2,1,1,2,261,21,16,1.0
Mushrooms,10,196,15.0,8.0,14.0,1,1,370,460,30,11,3.0
Spinach,0,23,3.6,0.5,0.4,1,1,79,170,12,8,0.0
Uttapam,55,200,30.0,5.0,8.0,1,1,119,90,10,30,1.0
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,36,18,7.9
Kabsa,20,220,15.0,12.0,14.0,1,1,480,400,25,60,3.0
Brown Rice,15,25,5.3,1.9,0.3,1,1,30,299,15,22,2.0
Apple,39,52,12.0,0.3,0.2,1,1,0,107,9,6,2.4
Apple,39,52,14.0,0.3,0.2,1,1,0,107,9,6,2.4
Salmon,0,206,0.0,22.0,13.0,1,1,59,628,27,12,0.0
Lassi,85,180,32.0,4.0,2.0,1,1,380,180,30,40,2.0
Rava Idli,75,220,20.0,5.0,12.0,1,0,460,120,15,80,1.5
Fish Curry,0,220,8.0,26.0,11.0,1,1,611,380,35,32,3.0
Lamb Kabsa,50,479,40.0,25.0,18.0,1,1,893,400,30,89,3.0
Asparagus,15,20,3.7,2.2,0.2,1,1,2,202,14,10,2.2
Blueberries,46,69,18.0,0.7,0.2,1,1,2,191,12,10,0.9
Vegetable Biryani,24,54,3.9,4.2,0.4,1,1,43,141,31,14,2.1
Kale,15,49,8.8,4.3,0.9,1,1,23,330,33,150,3.6
Chicken Korma,0,270,5.0,25.0,18.55,1,1,642,320,34,35,0.0
Oats,55,389,66.0,16.9,6.9,1,1,2,429,144,54,10.6
Asparagus,39,52,14.0,1.1,0.2,1,1,69,320,12,33,2.3
Lean Beef,0,250,0.0,26.0,17.0,1,1,53,391,22,11,0.0
Zucchini,0,206,8.0,24.0,11.0,1,1,73,410,70,14,0.0
Oranges,40,43,9.6,0.9,0.4,1,1,69,320,12,33,2.8
Celery,15,16,3.5,0.6,0.2,1,1,79,260,11,36,1.6
Strawberries,40,29,7.0,0.7,0.3,1,1,1,153,12,16,2.0
Barley,59,67,15.0,1.1,0.1,1,1,0,109,29,16,2.2
Apple,70,41,9.6,0.9,0.2,1,1,5,337,27,42,2.8
Blueberries,59,69,18.0,0.72,0.2,1,1,2,191,6,11,0.9
Chana Masala,42,260,32.0,8.0,12.0,1,1,531,240,25,49,3.0
Kibbeh,30,260,20.0,15.0,14.0,1,1,318,150,22,119,2.0
Flaxseed Oil,40,300,45.0,10.0,6.0,1,1,580,479,30,70,3.0
Kibbeh,15,260,15.0,12.0,18.0,1,1,318,729,28,100,11.8
Barley,55,320,30.0,5.0,18.0,1,1,199,90,15,44,2.0
Mango Chutney,50,320,55.0,10.0,4.0,1,1,3,318,10,1,2.0
Hummus,9,165,20.0,22.2,9.0,1,1,690,498,39,108,3.0
Brown Rice,15,25,5.3,2.0,0.3,1,1,30,320,15,22,2.0
Mutton Curry,68,260,35.0,5.0,7.0,1,0,40,29,10,45,0.0
Quinoa Pasta,71,300,46.0,7.0,11.0,1,1,520,322,40,54,5.0
Eggplant,15,25,6.0,1.0,0.2,1,1,2,229,14,9,3.0
Pineapple,59,50,13.0,0.5,0.1,1,1,1,109,12,13,1.4
Watermelon,75,30,8.0,0.6,0.2,1,1,1,112,11,8,0.6
Spinach,15,23,3.6,2.9,0.4,1,1,79,558,79,99,2.2
Watermelon,71,30,7.6,0.6,0.2,1,1,1,112,10,8,0.6
Labneh,4,150,12.0,10.0,0.5,1,1,520,320,59,40,6.5
Uttapam,55,200,35.0,3.0,17.0,1,1,14,90,2,20,1.0
Coconut Milk,40,562,45.0,25.0,29.8,1,1,800,550,40,150,3.0
Brown Rice,68,50,13.0,0.6,0.2,1,1,1,112,12,8,1.0
Puliyogare,55,220,49.9,9.4,2.5,1,1,711,498,29,100,6.0
Kadai Paneer,14,230,8.0,15.0,17.2,1,1,620,420,36,669,0.0
Lettuce,15,5,1.0,0.5,0.1,1,1,5,194,7,36,0.5
Pear,0,85,0.0,20.0,0.9,1,1,98,239,10,53,0.0
Quorn,0,485,44.4,16.5,49.26,1,1,16,407,335,458,
Celery,15,16,3.8,0.7,0.1,1,1,79,260,11,11,1.6
Chicken Tikka Masala,0,862,0.0,18.45,49.86,1,1,540,0,1,80,0.0
Quorn,0,220,0.0,25.0,13.4,1,1,57,0,0,0,0.0
Salmon,0,206,0.0,22.0,13.0,1,1,59,628,27,12,0.0
Avocado,0,160,0.0,30.6,14.7,1,1,7,376,28,11,0.0
Manakish,45,400,40.0,25.0,18.55,1,1,893,390,35,100,4.0
Cabbage,15,25,6.0,1.0,0.2,1,1,8,229,14,9,3.0
Kale,0,206,0.0,9.3,13.4,1,1,73,263,18,11,0.0
Quorn,0,258,0.0,25.0,17.0,1,1,57,299,23,14,0.0
Orange,40,61,15.4,1.2,0.2,1,1,0,181,10,52,3.1
Coconut Milk,40,180,25.0,6.0,8.0,1,1,480,879,30,152,10.2
Kidney Beans,24,320,25.0,8.0,18.0,1,1,460,380,28,45,5.0
Turkey Breast,0,189,0.0,27.0,8.2,1,1,64,339,29,13,0.0
Quorn,0,220,0.0,30.0,13.4,1,1,57,299,35,12,0.0
Mango,55,150,26.3,1.0,88.25,1,1,370,68,15,27,2.0
Caprese Salad,70,67,14.0,1.1,0.1,1,1,0,109,29,16,2.2
Orange,40,61,16.0,1.2,0.2,1,1,0,181,10,42,3.1
Fatayer,0,120,0.0,23.31,13.6,1,1,0,0,0,0,0.0
Cauliflower,15,25,5.3,1.9,0.3,1,1,30,299,15,22,2.0
Rava Idli,55,180,10.0,5.0,12.0,1,1,480,380,30,80,4.0
Lassi,0,89,8.0,14.0,1.9,1,1,117,433,59,11,3.6
Greek Yogurt,11,59,3.6,10.0,0.4,1,1,38,141,11,80,0.0
Orange,40,61,15.4,1.2,0.2,1,1,0,237,10,52,3.1
Chicken Salad,0,196,1.1,30.0,12.0,1,1,229,340,22,22,1.0
Spinach,10,269,45.0,15.0,4.2,1,1,23,875,79,80,12.2
Grilled Chicken,0,206,5.0,26.0,10.0,1,1,611,438,30,36,0.0
Spinach,42,364,61.5,16.9,6.0,1,1,23,747,79,30,28.1
Oats,55,389,66.0,10.0,6.9,1,1,2,180,177,54,4.2
Broccoli,10,55,11.2,3.7,0.6,1,1,33,220,10,47,2.4
Asparagus,39,52,14.0,1.1,0.2,1,1,69,320,12,33,3.0
Mango Lassi,40,60,10.0,2.0,5.0,1,1,122,320,27,33,2.0
Quinoa Salad,53,218,20.0,2.3,17.0,1,1,70,204,20,27,1.4
Lemon Rice,50,450,40.0,25.0,18.55,1,1,905,400,30,80,4.0
Tandoori Chicken,0,290,5.0,25.0,18.0,1,1,620,320,30,35,0.0
Rajma Chawal,27,341,60.1,21.82,0.8,1,1,2,970,47,35,27.6
Tomato,15,150,4.6,25.0,2.7,1,1,593,250,33,18,0.4
Rava Idli,65,130,20.0,4.2,8.0,1,0,380,240,15,15,3.0
Green Tea,0,0,0.0,4.18,90.88,1,1,1,60,14,28,0.0
Quorn,0,106,4.5,14.0,2.0,1,1,8,433,59,9,2.8
Puliyogare,55,230,30.0,5.0,10.0,1,1,620,240,60,54,5.0
Mango Juice,0,120,0.0,23.31,13.5,1,1,0,0,0,0,0.0
Sweet Potato,70,86,20.0,2.0,0.4,1,1,50,337,32,14,3.3
Cottage Cheese,10,98,3.4,11.1,4.3,1,1,364,104,7,124,0.0
Brussels Sprouts,15,43,9.0,3.3,0.2,1,1,79,343,43,21,2.0
Zucchini,0,250,10.0,15.0,18.0,1,1,73,610,22,11,3.3
Watermelon,75,30,8.0,0.6,0.2,1,1,1,112,11,11,0.6
Lassi,0,89,15.0,4.7,0.8,1,1,220,316,33,40,3.0
Zucchini,15,17,3.1,1.2,0.2,1,1,8,247,14,16,1.0
Rajasthani Dal,75,441,50.0,20.0,18.55,1,0,780,470,25,119,8.0
Spinach,10,269,45.0,15.0,4.2,1,1,23,875,79,80,12.2
Strawberries,40,32,7.7,0.7,0.3,1,1,1,153,12,16,2.0
Celery,15,16,3.8,0.7,0.2,1,1,79,260,11,40,1.6
Split Pea Soup,37,116,21.7,7.9,0.6,1,1,545,368,25,60,7.8
Quinoa Salad,53,118,20.4,4.2,2.5,1,1,8,152,64,19,2.6
Lamb Kabsa,50,479,60.0,17.0,49.26,1,1,0,429,335,36,10.6
Chicken Biryani,50,400,45.0,20.0,16.0,1,1,820,479,35,60,2.0
Banana,50,96,21.0,1.1,1.0,1,1,12,358,12,25,2.6
